Title,Company,Link,Reward
공비서 자바/코틀린 리드 개발자,헤렌,https://www.wanted.co.kr//wd/233000,합격보상금 100만원
안드로이드 개발자 (Kotlin),블록체인랩스,https://www.wanted.co.kr//wd/233609,합격보상금 100만원
Backend Engineer (Java/Kotlin/카드사업) (7년이상),센트비(Sentbe),https://www.wanted.co.kr//wd/247700,합격보상금 100만원
금융상품 연동 개발자 (Java/Kotlin),핀다(FINDA),https://www.wanted.co.kr//wd/247380,합격보상금 100만원
Back-end Developer (Java/Kotlin),웨이브릿지,https://www.wanted.co.kr//wd/233753,합격보상금 100만원
서버 엔지니어 (Kotlin/Spring),페이히어,https://www.wanted.co.kr//wd/230925,합격보상금 100만원
Kotlin/Java 개발자,크림(KREAM),https://www.wanted.co.kr//wd/236465,합격보상금 100만원
Java/Kotlin 서버/백엔드 개발자(7년차 이상),페이민트,https://www.wanted.co.kr//wd/179754,합격보상금 100만원
공비서 자바/코틀린 리드 개발자,헤렌,https://www.wanted.co.kr//wd/233000,합격보상금 100만원
안드로이드 개발자 (Kotlin),블록체인랩스,https://www.wanted.co.kr//wd/233609,합격보상금 100만원
Backend Engineer (Java/Kotlin/카드사업) (7년이상),센트비(Sentbe),https://www.wanted.co.kr//wd/247700,합격보상금 100만원
금융상품 연동 개발자 (Java/Kotlin),핀다(FINDA),https://www.wanted.co.kr//wd/247380,합격보상금 100만원
Back-end Developer (Java/Kotlin),웨이브릿지,https://www.wanted.co.kr//wd/233753,합격보상금 100만원
서버 엔지니어 (Kotlin/Spring),페이히어,https://www.wanted.co.kr//wd/230925,합격보상금 100만원
Kotlin/Java 개발자,크림(KREAM),https://www.wanted.co.kr//wd/236465,합격보상금 100만원
Java/Kotlin 서버/백엔드 개발자(7년차 이상),페이민트,https://www.wanted.co.kr//wd/179754,합격보상금 100만원
